name,category,style,abv,ibu,srm
"Double Eagle ""High-Test"" Scotch Ale",British Ale,Scotch Ale,8.0,0.0,0.0
"Johnny ""Blood"" McNally Irish Red",North American Ale,American-Style Amber/Red Ale,0.0,0.0,0.0
"Jupiter - Belgian-style ""Champagne"" Trippel",Belgian and French Ale,Belgian-Style Tripel,0.0,0.0,0.0
"Pale Ale ""Ã¡ la Bushner""",North American Ale,American-Style Pale Ale,0.0,0.0,0.0
"Stout ""To Be Named Later""",North American Ale,American-Style Stout,0.0,0.0,0.0
"Triple ""H""",German Ale,South German-Style Hefeweizen,0.0,0.0,0.0
#17 Cream Ale,North American Lager,American-Style Lager,0.0,0.0,0.0
#42 Cream Ale,Other Style,American-Style Cream Ale or Lager,0.0,0.0,0.0
10,Belgian and French Ale,Belgian-Style Tripel,10.0,0.0,0.0
1084 Barleywine,North American Ale,American-Style Barley Wine Ale,0.0,0.0,0.0
11,North American Ale,American-Style Pale Ale,11.0,0.0,0.0
120 Minute IPA,North American Ale,Imperial or Double India Pale Ale,18.0,0.0,0.0
120 Shilling Scotch Ale,British Ale,Scotch Ale,0.0,0.0,0.0
1798 Revolution,British Ale,English-Style Pale Mild Ale,0.0,0.0,0.0
1916 Irish Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
2 Brothers,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
21A IPA,North American Ale,American-Style India Pale Ale,7.199999809265137,0.0,0.0
2nd Street Amber,North American Ale,American-Style Amber/Red Ale,0.0,0.0,0.0
2xIPA,North American Ale,Imperial or Double India Pale Ale,0.0,0.0,0.0
34th Street Porter,Irish Ale,Porter,0.0,0.0,0.0
3C Extreme,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
3rd Anniversary Ale,North American Ale,Imperial or Double India Pale Ale,10.0,0.0,0.0
4 Reverends Imperial Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
4 Seasons IPA,North American Ale,American-Style India Pale Ale,8.0,0.0,0.0
420 Extra Pale Ale,North American Ale,American-Style Pale Ale,5.400000095367432,0.0,0.0
47 Bryg,German Lager,Traditional German-Style Bock,7.0,0.0,0.0
